Page ID,Page Name,Disclaimer,Amount Spent (USD),Number of Ads in Library
357016794713609,Bitty Baddies,These ads ran without a disclaimer,≤100,1
242097055890521,Women's Distance Festival,These ads ran without a disclaimer,≤100,3
508826162504295,Video Made To Order - VMTO,Rexford Allen Rizzs,≤100,1
129582047704826,Pinellas Democratic Socialists of America,Pinellas Democratic Socialists of America,≤100,1
2104488459576604,The Night's Watch - Cecil Twp,These ads ran without a disclaimer,≤100,1
351633778378133,The Office Coffee Shop,These ads ran without a disclaimer,≤100,1
802682066524372,Assessor John Wilson,These ads ran without a disclaimer,≤100,1
217493681598468,"Muslims for Peace, Inc.",These ads ran without a disclaimer,≤100,1
424917557886284,DJDavisforJudge,Donald J Davis,≤100,1
436091999844042,Roger Mann's - Jamboree,These ads ran without a disclaimer,≤100,1
118009158268664,Alexander Thompson Arnold CPAs,These ads ran without a disclaimer,≤100,1
245748518893583,Perry County Democrats,Perry County Democratic Committee,≤100,1
480558568774064,Dienekes' Place,These ads ran without a disclaimer,≤100,1
111131472234841,Impact San Antonio,These ads ran without a disclaimer,≤100,1
428808574377826,David X. Sullivan,Sullivan for Congress,≤100,2
131825772278,"Lesser, Lesser, Landy & Smith, PLLC",Angel Lee Adams,≤100,2
598835756890861,Parents Opposed to Pot,These ads ran without a disclaimer,≤100,1
210883157264,GraceWear Collection,These ads ran without a disclaimer,≤100,1
429259960878554,Fresno County Jobs,These ads ran without a disclaimer,≤100,1
106508614174511,God Bless the USA,These ads ran without a disclaimer,≤100,1
1505620079724730,Utah Psychological Association,Kirt Erik Cundick,≤100,2
107636134159538,Kind Embroidery,These ads ran without a disclaimer,≤100,1
117083841693978,Gunpowder Riverkeeper,These ads ran without a disclaimer,≤100,2
267615923405360,RAK Louisville,These ads ran without a disclaimer,≤100,2
142214355799889,Orthman Community YMCA/ Lexington,These ads ran without a disclaimer,≤100,1
365239083945517,Russell Reahard for Indiana House,These ads ran without a disclaimer,≤100,1
613924535450605,Daniel L. Hatcher,Daniel Landon Hatcher,≤100,1
101279414739979,Democracy Creative,These ads ran without a disclaimer,≤100,6
115694966546065,Shaun Lehoe for Manatee County School Board District 3,Shaun Lehoe for Manatee County School Board District 3,≤100,1
108660363978557,Call a loved one,These ads ran without a disclaimer,≤100,2
103356016455047,Clover Park School District,These ads ran without a disclaimer,≤100,1
518332724897619,"Rebekah Gienapp, The Barefoot Mommy",Rebekah Jordan Gienapp,≤100,2
210997149627783,Amy Smith Ucanketo,Antonio Thompson,≤100,1
1987154604879721,Hydrate Water Bottles,These ads ran without a disclaimer,≤100,2
435822183152685,Midas Gold,These ads ran without a disclaimer,≤100,1
283007499016707,Dream Bright,These ads ran without a disclaimer,≤100,1
2283136448568747,Life Coverage IQ,These ads ran without a disclaimer,≤100,1
167996350436478,Affinity Accounting,These ads ran without a disclaimer,≤100,1
105387837674263,Religious Freedom C/O Humanity,These ads ran without a disclaimer,≤100,1
108105249214128,Hollis NH Republican Town Committee,Hollis NH Republican Town Committee,≤100,1
912179962452121,Douglas L. Koopman,These ads ran without a disclaimer,≤100,1
96771266759,AMSA - American Medical Student Association,AMERICAN MEDICAL STUDENT ASSOCIATION,≤100,2
300378437360921,BoxoLoco,These ads ran without a disclaimer,≤100,2
1406852162897541,Tim Grayson for Assembly,Tim Grayson for Assembly 2020,≤100,2
1175427392639841,HHPhotography,Matthew Jay Sloniker,≤100,1
405076206997902,Ronald Pierce For N.C. Commissioner of Insurance,These ads ran without a disclaimer,≤100,1
1950086455263325,Greig Women In Leadership,These ads ran without a disclaimer,≤100,1
1068036746719942,Uncommon Sense: conservative opinion,These ads ran without a disclaimer,≤100,4
362747051138,Kurdish Community of America,Muneer Kamal Bradost,≤100,1
296720971169238,Memetrosity,Rayshawn Montei Lawrence,≤100,3
227046381110480,OMNICOMMANDER,These ads ran without a disclaimer,≤100,1
202096706467310,PSJA ISD,PHARR SAN JUAN-ALAMO INDEPENDENT SCHOOL DISTRICT,≤100,2
306122936523275,Joe P. Herrera for Texas State Rep House District 53,Joe P. Herrera Campaign,≤100,2
114086200136190,Treemendous Nature of Women Retreat,These ads ran without a disclaimer,≤100,2
291165674568581,The Meek Apparel,These ads ran without a disclaimer,≤100,2
346449592531765,Mark McKenney,These ads ran without a disclaimer,≤100,1
605730712933485,Jewish Explorer,These ads ran without a disclaimer,≤100,1
190430131101992,"Kairos Government Affairs, LLC",These ads ran without a disclaimer,≤100,1
114039506679756,The Corky Row Club,Kevin D Grant,≤100,1
180429238668877,Howe Community Resource Center,These ads ran without a disclaimer,≤100,1
139431919328,Openhouse,These ads ran without a disclaimer,≤100,1
161566960534147,Michigan Coalition to End Domestic and Sexual Violence,These ads ran without a disclaimer,≤100,2
102727037937253,Ken Shelton for Steuben County Commissioner,Ken Shelton for Steuben County Commissioner,≤100,3
479585816133662,Premiu Shopping,These ads ran without a disclaimer,≤100,1
913176045377866,Keep Argyle Rural,These ads ran without a disclaimer,≤100,3
2226715184219897,Sonoma County Professional Firefighters,These ads ran without a disclaimer,≤100,1
822727931259240,Well Earth Goods,These ads ran without a disclaimer,≤100,2
107081094199703,Matthew Smith for Genesee County Commissioner,Matthew Michael Smith,≤100,1
45869714108,Alliance for the Great Lakes,ALLIANCE FOR THE GREAT LAKES,≤100,1
103760847891525,Macomb Transformed For Christ,These ads ran without a disclaimer,≤100,2
393889781150479,Greater Seattle Homes and Properties,These ads ran without a disclaimer,≤100,3
100189504922498,Little Insurance,These ads ran without a disclaimer,≤100,1
295657124461064,The Guppy Company,The Guppy Company,≤100,2
100786701371234,Jaime Valencia for Commerce City Council 2020,These ads ran without a disclaimer,≤100,1
101917871328841,elev8tor_,These ads ran without a disclaimer,≤100,1
1495510827443455,Matt Orfalea,Matthew Rogers Orfalea,≤100,2
1184984881648193,Carriage Horse Freedom,These ads ran without a disclaimer,≤100,2
108332290539754,O'Toole for Illinois Senate,These ads ran without a disclaimer,≤100,1
185049816088,Global Justice Center,Thomas Mark Dresslar,≤100,1
209548829094882,Colion Noir,Noir Inc,≤100,1
574474346013459,Maxed Out Gym,These ads ran without a disclaimer,≤100,1
104819867670455,Scott Broyles for County Commission,Scott Joseph Broyles,≤100,2
2365214577056673,Wesley Morgan,Clinton W Morgan,≤100,1
114009726811338,thisisjanetmay,These ads ran without a disclaimer,≤100,2
358438838147451,Gram Of Dope: The Series,These ads ran without a disclaimer,≤100,3
110092873733493,Milcasa Store,Milcasa Renovation LLC,≤100,2
109932177128704,Tammyette Thomas for Florida House- District 15,Tameyette Lacher James Thomas,≤100,2
218617293585,National Geographic Kids,These ads ran without a disclaimer,≤100,1
1160291140689879,Peter Amundson,Peter Amundson,≤100,2
1851243845112665,Real Estate with Robyn,These ads ran without a disclaimer,≤100,1
337649146259626,Living in 64116,These ads ran without a disclaimer,≤100,1
224110651893,International African American Museum,These ads ran without a disclaimer,≤100,1
404596442933474,Maine Green Power,Maine Green Power,≤100,4
101481144681537,inherit_my_breaking_wind,These ads ran without a disclaimer,≤100,4
361942841427,INCIDENT AT KICKAPOO CREEK,These ads ran without a disclaimer,≤100,2
1675630946095534,Franciscan Missions,Franciscan Missions,≤100,2
1374552925958504,Fierce Little Bird Productions,Adam Kristopher Allen,≤100,2
610796158946513,UNAC/UHCP,These ads ran without a disclaimer,≤100,2
822951597762499,"MAGIC MINDS, INC",These ads ran without a disclaimer,≤100,1
168916839824331,Andersonville Civil War Village,These ads ran without a disclaimer,≤100,1
510378432376387,LOUDER THAN WORDS,These ads ran without a disclaimer,≤100,4
104626674288347,45 Sucks,Monica Ariel Lewin,≤100,1
116271708464589,Banners and More Signs,These ads ran without a disclaimer,≤100,1
849438388539733,RIC Da Great,These ads ran without a disclaimer,≤100,2
152884381419506,Alabama Family Rights Association,These ads ran without a disclaimer,≤100,1
133456230018773,The Bawmann Group,These ads ran without a disclaimer,≤100,1
88805565826,TEDxSMU,These ads ran without a disclaimer,≤100,1
199911423404215,Walmart Elgin,These ads ran without a disclaimer,≤100,1
162011417190258,Trump National Golf Club Los Angeles,These ads ran without a disclaimer,≤100,1
1105744552832420,City of Carver Mayor Courtney Johnson,City of Carver Mayor Courtney Johnson,≤100,3
613837555309396,Well Water Solutions and Rentals Inc.,These ads ran without a disclaimer,≤100,1
102042811331245,Wanda Logan-Faulkner for General Sessions Court Clerk,These ads ran without a disclaimer,≤100,1
100863078007868,Yvynaturals,These ads ran without a disclaimer,≤100,1
166557158670,Mercer County Republican Committee,Adam Brent Wolfe,≤100,1
781202941971968,"Pearls Of Esther, Inc.",These ads ran without a disclaimer,≤100,1
385219425615934,Insider Envy - Shows,These ads ran without a disclaimer,≤100,2
103149433057910,Alabama Young Democrats,Alabama Young Democrats,≤100,2
794813270565049,Prival,Prival Concepts LLC,≤100,4
2148663638593632,Dweebs and Dogs,These ads ran without a disclaimer,≤100,1
111059260451755,Maryam Asenuga for Young Trustee,These ads ran without a disclaimer,≤100,1
103776327839482,Keep Gary Sheff Magistrate,These ads ran without a disclaimer,≤100,2
387038725055729,Representative Jerry Carter - Rockingham County,Citizens to Elect Jerry Carter,≤100,1
104694011065202,instapokergram,These ads ran without a disclaimer,≤100,1
985144098237408,Buttons4Bernie.com,Michelle  Akers,≤100,1
1567509073486458,State Rep. Mike France,Frederick Michael France,≤100,2
113828763508018,TeflonDon2020,These ads ran without a disclaimer,≤100,1
358670367949587,Climate Action RI,Climate Action Rhode Island,≤100,2
103324117900824,Tim Walsh for Congress,TIM WALSH FOR CONGRESS,≤100,2
108035720778375,St Saint Patrick's Day,These ads ran without a disclaimer,≤100,10
293836380967953,The Unofficial Frump Campaign Store,These ads ran without a disclaimer,≤100,2
112157500340190,T-shirt Design,These ads ran without a disclaimer,≤100,1
252357741477536,City Club Missoula,These ads ran without a disclaimer,≤100,1
396797904276629,Hoffman For Waverly,Adam Paul Hoffman,≤100,2
1553100041502292,"Matthew Ferrence for PA House, District 6",Friends of Matthew Ferrence,≤100,1
2210474162512035,Solar Energy EZ,These ads ran without a disclaimer,≤100,1
106173167584805,Pennsylvanians for Human Life Scranton Chapter,These ads ran without a disclaimer,≤100,1
103291787877212,Franklin Batista Regidor de Tavera,These ads ran without a disclaimer,≤100,3
254333811937772,dAdvocate,Sean L Walton,≤100,1
615759918585606,Wayne Avrashow,These ads ran without a disclaimer,≤100,2
177344802826849,Edward Jones Financial Advisor - Kevin Dunklow,These ads ran without a disclaimer,≤100,2
1158623177494649,Changing Tides Foundation,CHANGING TIDES FOUNDATION,≤100,2
103601181218781,ARATA 2020,These ads ran without a disclaimer,≤100,1
102134471300351,Fighting for legalization,These ads ran without a disclaimer,≤100,2
1150091598356211,Safe Spaces for Women,These ads ran without a disclaimer,≤100,2
103812464520061,It's A Trapp,These ads ran without a disclaimer,≤100,1
108748230707013,Veronica Gorman for Family Court Judge,Veronica Margrave Gorman,≤100,1
100298601517479,No Cap - Unbiased Journalism,These ads ran without a disclaimer,≤100,3
473534029657894,Erie County United,Pennsylvania United,≤100,2
385917001840678,1st Tuesday Conservatives,These ads ran without a disclaimer,≤100,1
1506772346299932,Ribble Trust,These ads ran without a disclaimer,≤100,3
896675980427212,Rep. Joanna McClinton,These ads ran without a disclaimer,≤100,1
173543836740,"Democracy Means You stickers, buttons, and tees",Democracy Means You,≤100,3
105886500914070,The Traditional Gentleman,These ads ran without a disclaimer,≤100,1
1513288538990337,Sioux Falls Downtown Rotary,Anthony Francis Burke,≤100,2
150621451650636,Montana Wilderness Association,Montana Wilderness Association,≤100,1
106092124302713,better_than_plastic,These ads ran without a disclaimer,≤100,2
109133920629256,Joe East - Patriots for a Great America,These ads ran without a disclaimer,≤100,1
551208241900404,Re-Elect Joe Zitzelsberger for Waunakee Trustee,Friends of Joe Zitzelsberger,≤100,2
113716860032839,Futureproof,These ads ran without a disclaimer,≤100,2
100594028190632,SocialLeftist,These ads ran without a disclaimer,≤100,2
114644099907396,KASH Company,These ads ran without a disclaimer,≤100,2
100738597984768,Chris Trakel for Idaho,Christopher Thomas Trakel,≤100,1
220434338495490,Top Apps,These ads ran without a disclaimer,≤100,6
251903888862477,West Seneca Democrats,West Seneca Democratic Committee,≤100,2
212063912162782,Mark Eaton - 7ft4.com,These ads ran without a disclaimer,≤100,6
103634837818909,Pantst.market,These ads ran without a disclaimer,≤100,2
1133756186684385,"Kingston, NY Local",These ads ran without a disclaimer,≤100,2
132802846796419,Clarion County Democrats,Daniel F Carey,≤100,2
187286122197127,Life News Today,These ads ran without a disclaimer,≤100,2
102320684634153,Care to Talk Show,Gary Keith Ritterstein Ii,≤100,3
111713756829242,Ban Horse Racing,These ads ran without a disclaimer,≤100,2
333762770624808,AH Designs,These ads ran without a disclaimer,≤100,1
355183012284,Arkansas Public Policy Panel,These ads ran without a disclaimer,≤100,1
300366740378992,Mormon Women for Ethical Government,These ads ran without a disclaimer,≤100,1
1047685328682169,Richmond Region LULAC Council 4614,These ads ran without a disclaimer,≤100,1
236682243088021,Law Offices of Jennifer L. Bennett,Jennifer L Bennett,≤100,1
1460356534212349,Sam Aleks Art,These ads ran without a disclaimer,≤100,1
159051537572290,Critic,These ads ran without a disclaimer,≤100,1
1380565588667860,GunLamps,These ads ran without a disclaimer,≤100,2
346579995436109,East Union Elementary PTO,These ads ran without a disclaimer,≤100,1
107077127301805,Orange County for Pete Buttigieg,Matthew James Maiatico,≤100,2
105275894204053,Al’s Trash removal,These ads ran without a disclaimer,≤100,1
107155497447395,The Trump Case,These ads ran without a disclaimer,≤100,2
112143430338118,Michael Schouten for SSCCC President,These ads ran without a disclaimer,≤100,1
1011308329076697,The Church at Southwind Abortion Clinic,These ads ran without a disclaimer,≤100,1
1863279023932103,Shirley's Kitchen Cabinet,These ads ran without a disclaimer,≤100,1
341667226167471,"Martie Sirois, Writer & Speaker",These ads ran without a disclaimer,≤100,1
863564227367054,Act on Mass,"Act on Mass, Inc.",≤100,1
2377566065817463,Still Bernin 420 20,These ads ran without a disclaimer,≤100,1
264457234400605,Lumen High School,These ads ran without a disclaimer,≤100,1
488092095267037,Donkey Spin,Lawrence Mccormick,≤100,1
660392237420535,Kick Insurance to the Curb,Jordan Patrick Fowler,≤100,1
408445606644141,The Mueller Report,Randy Benjamin,≤100,1
274625482626847,Rotary Club of Jefferson,These ads ran without a disclaimer,≤100,1
515308312338475,Michael Vieira for Livingston Council,Michael M Vieira,≤100,1
161356730701227,Amanda Stuck,Stuck for Congress,≤100,1
1533010070325272,Martell for Manitowoc,Tyler Thomas Martell,≤100,1
111411279526138,Jim Summers,These ads ran without a disclaimer,≤100,1
109111140618844,Lean In Tacoma,These ads ran without a disclaimer,≤100,3
2250862858471595,"NAMI - Douglas County, WI",Eleni Pinnow,≤100,1
2017523171864046,Jason Eckman for Racine County Supervisor,Friends of Jason Eckman,≤100,1
663899660332829,Lundgren for Iowa House,These ads ran without a disclaimer,≤100,1
866389273718475,Tri-State Franciscan Solidarity Table,These ads ran without a disclaimer,≤100,1
109397223919412,annetteeraquel,These ads ran without a disclaimer,≤100,2
1657056631224989,Bronna Kahle,Bronna Kahle for State Rep,≤100,4
104286097599120,Kimberly Calvin for SB 6th Ward City Council 2020,Kimberly Calvin for San Bernardino City Council Ward 6 2020,≤100,2
2259571730757575,Lcda. Gretchen Hau Senadora Distrito de Guayama 2020,Reymerik Aponte Lopez,≤100,1
137056526332674,Match Education,These ads ran without a disclaimer,≤100,1
108584837314326,Rutan For Republican,These ads ran without a disclaimer,≤100,1
106558484123154,Ed Ollom for Ohio,David R Thornbury,≤100,1
455237037949668,New Hope Bible Fellowship,Mark William Fast,≤100,1
142675344592,SAFE-D - The Texas State Association of Fire and Emergency Districts,These ads ran without a disclaimer,≤100,1
296596930356782,Disability Rights Tennessee,DISABILITY RIGHTS TENNESSEE,≤100,1
559850817879827,LALC Lifting Away Life's Challenges,Alisa Michelle Worrix,≤100,1
103985597757421,John Brunner for Manitowoc City Council - District 5,John L Brunner,≤100,2
108509557195909,Ryan Liedtky for Indiana State House District 21,Ryan Liedtky Liedtky,≤100,2
191585874271041,Qbanguy,These ads ran without a disclaimer,≤100,1
252228804853077,"Tim W. Brown, President -Toledo Metropolitan Area Council of Governments",Tim W Brown,≤100,1
1211190515577096,Brian Lee,These ads ran without a disclaimer,≤100,1
496003297261251,Re-elect Stan Helton for Fannin County Commission Chairman,Re-Elect Stan Helton for Fannin County Commission Chairman,≤100,1
1567786246815282,Brad Cromes,Bradley Cromes,≤100,1
115732972406058,Howard Li CPA Office,These ads ran without a disclaimer,≤100,1
102280367886230,militantmose,These ads ran without a disclaimer,≤100,2
1703389286598916,Rep. Nick Boldyga,Nicholas A Boldyga,≤100,1
362850460546360,Knox Robinson Films,These ads ran without a disclaimer,≤100,2
116586778366029,Clays Mill Baptist Church,These ads ran without a disclaimer,≤100,1
1423395657896219,Labiosa Liberty PAC,Labiosa Liberty PAC,≤100,3
57204365457,United Church of Santa Fe,These ads ran without a disclaimer,≤100,1
1067689836703874,Miamisburg Democrats,Randall J Reed,≤100,1
458391127837194,Libertarian Party of Brunswick County,Christopher Edward Dooley,≤100,1
1665176020379489,"Kimberly Ann Cobos-Cawthorne, Mayor Pro Tem City of Montebello",Kimberly Ann Cobos,≤100,6
115209363323,New Energy Economy,"NEW ENERGY ECONOMY, INC.",≤100,1
126263794050714,Dr. Tyffani Dent,These ads ran without a disclaimer,≤100,1
1517121158551000,Law Offices of Burch & Lockhart,These ads ran without a disclaimer,≤100,1
689371168164933,Yes for Safety and Justice,Yes for Safety and Justice,≤100,2
10766391539,POZ Magazine,These ads ran without a disclaimer,≤100,1
110532280372520,The Best Place for Kids,These ads ran without a disclaimer,≤100,1
472061766212472,Give That Some Thought,Addison Richard Todd,≤100,3
249565305509601,Tennessee Valley Libertarian Party,Tennessee Valley Libertarian Party,≤100,1
103584654514878,Bruce Workman for Hancock County Commissioner,Bruce Wayne Workman,≤100,1
386211198174313,Jorge Elorza,City of Providence,≤100,1
101254951286368,Highway Hounds Rescue,Bobette Ackerman,≤100,1
107951693952436,Newport Waterfront Alliance,These ads ran without a disclaimer,≤100,1
294336087707293,Citrus County Young Republicans,Robert James Winsler,≤100,1
478159806004792,"CSRS, Inc.",These ads ran without a disclaimer,≤100,1
103023217770606,Emmett Soldati,These ads ran without a disclaimer,≤100,1
242892002950176,True Lake Forest Neighborhood Watch & Discussion Page,These ads ran without a disclaimer,≤100,2
107632430830968,Easdasd,These ads ran without a disclaimer,≤100,1
2566925926653446,KerlZ Design Studios,These ads ran without a disclaimer,≤100,1
100543988203105,General Mark Alexander Milley,These ads ran without a disclaimer,≤100,2
439269722783217,Booker T. District 3 Neighborhood Alliance,These ads ran without a disclaimer,≤100,1
515156762174672,The Claude Pepper Center,These ads ran without a disclaimer,≤100,1
1653207721631225,Vote 4 JJJJR John J Joyner Jr - Bedford Stuyvesant & Northern Crown 2021,John Joseph Jr Joyner,≤100,1
132711909242,"GRCC Office of Diversity, Equity, and Inclusion",These ads ran without a disclaimer,≤100,2
967594106708703,Klint Ciriaco,These ads ran without a disclaimer,≤100,1
109193420570093,Mark McBrayer for District Judge Campaign,Mark Whitney Mcbrayer,≤100,1
1617514991642390,Dan Margolis,Daniel M Margolis,≤100,1
271852526656228,Maggie Trevor for State Representative-IL 54,Citizens for Maggie Trevor,≤100,2
1450899288492601,Stl Crea,These ads ran without a disclaimer,≤100,1
100516841391323,Lafourche Republican Parish Executive Committee,Lafourche Republican Parish Executive Committee,≤100,1
107577260730016,Mike McLean for Milford School Board,These ads ran without a disclaimer,≤100,1
110983012387754,"The CHEW, Inc.",Jeffery Keith Hawley,≤100,1
370050469695704,JB Shreve and the End of History,These ads ran without a disclaimer,≤100,1
445214565885953,Green Mountain Planning,These ads ran without a disclaimer,≤100,1
1799688833610870,The Bridge Forum,These ads ran without a disclaimer,≤100,2
853150901733336,Peter Harrison for NY-12,Peter T Harrison,≤100,1
705509749839178,Jayvon Johnson,These ads ran without a disclaimer,≤100,1
1827291897316832,Natalie Fleming for US Senate,NATALIE M FLEMING FOR US SENATE,≤100,1
1045334888999512,Kevin Caneco around the 12th,Friends of Kevin Caneco,≤100,1
993402774050007,Milwaukee Tavern League - New,These ads ran without a disclaimer,≤100,1
1706061183015990,Caputi for Council,Tammy Caputi,≤100,1
146365852054455,Pennsylvania Health Care Association,Kara Denise Barmoy,≤100,1
1150201811830164,Lewis County Can't Wait,These ads ran without a disclaimer,≤100,1
199238183741774,Dynamic Financial Group,These ads ran without a disclaimer,≤100,1
57158466579,Gail Borden Public Library,Kimberly A Gilmore,≤100,3
292848607313,Network Nova,Stair Zimmerman Calhoun,≤100,1
663743610731643,Mari-Lynn Poskin for Kansas,Poskin4KS,≤100,1
40055265495,The British Journal of Photography,These ads ran without a disclaimer,≤100,12
456475734440519,Totally Catholic Tees,These ads ran without a disclaimer,≤100,2
105039307538884,Missouri Census 2020,These ads ran without a disclaimer,≤100,1
135332839847855,Abortion Care Network,These ads ran without a disclaimer,≤100,1
112353640205530,Samuel Hulse,These ads ran without a disclaimer,≤100,1
898013573545877,NAPAbroadcasting.com,Napa Broadcasting,≤100,2
172928426705897,Karma Bento,These ads ran without a disclaimer,≤100,5
423110311764502,Ruyte,Ryan James Skeval,≤100,3
108183757415367,We The People,These ads ran without a disclaimer,≤100,1
211929902201956,Eddie Ifft,These ads ran without a disclaimer,≤100,1
1768041146803551,WELD: WoMen Encouraging Living Donation,These ads ran without a disclaimer,≤100,1
715465942212228,JEN 2020,Jen2020,≤100,1
229226233933592,Bergen County Women's Republican Club,Celeste S Homaychak,≤100,2
187209628087347,Defund Planned Parenthood,Joseph Anthony Molnar,≤100,1
161156287864752,"Mary Robichaux - House Representative, District 48",Benjamin Adair Harris,≤100,1
1374729266158253,Senator Mario Scavello,Mario Michael Scavello,≤100,1
123787205689852,Elect Lee Fisher Prosecutor,Lee Frederick Fisher,≤100,1
1715575865368614,American Babylon,Bryan Sanders,≤100,1
1745722325677728,Justin O'Donnell for U.S. Senate,ODONNELL FOR LIBERTY,≤100,2
83097983449,The Stokes News,These ads ran without a disclaimer,≤100,1
116972593494,InMaricopa,85239.com LLC DBA as InMaricopa.com,≤100,1
384817811865496,How To Raise a Maverick,How to Raise a Maverick,≤100,15
102863417785181,Noah Lovell,These ads ran without a disclaimer,≤100,1
132806643438848,Girosol Corp.,These ads ran without a disclaimer,≤100,1
949518255137790,Computer Developers Union,These ads ran without a disclaimer,≤100,1
126383201333101,Neal Simon,Jared Cole Alper,≤100,1
264889954220874,Noromenn,These ads ran without a disclaimer,≤100,2
34437329986,Climate One,These ads ran without a disclaimer,≤100,1
104089857787908,Putting Kids First School Board Campaign,These ads ran without a disclaimer,≤100,2
112303569414348,Utah Firearms Association,Utah Firearms Association,≤100,1
424095255041534,"Jeffery for Phoenix, District 1",Jeffery for City Council,≤100,2
158855935018784,SUN DAYS GOODS,These ads ran without a disclaimer,≤100,2
297110087062538,Java Dog Coffee House,These ads ran without a disclaimer,≤100,1
113119713473864,Paul Gritton for Sheriff,Elect Paul Gritton for Sheriff,≤100,1
193874027301124,Campbell UMC Youth Group,George Alan Duke,≤100,2
606193072831069,The American MindGrind,These ads ran without a disclaimer,≤100,1
102814667871412,Eric Boyce For Cedar Park City Council Place 4,Eric Boyce for Cedar Park City Council Place 4,≤100,1
13098507877,Surge Screen Printing & Embroidery,These ads ran without a disclaimer,≤100,1
806610349799035,Our Revolution Bemidji,These ads ran without a disclaimer,≤100,1
110624132356962,Highway Walkers Media,Darrell James Johnston,≤100,1
251544131543145,League of Women Voters of South Carolina,These ads ran without a disclaimer,≤100,1
182481422567322,Tennessee Alliance of Recovery Residences,These ads ran without a disclaimer,≤100,1
135984716580498,Jacob Colby Perry,Jacob Colby Perry,≤100,2
544170512381753,Get Your Rear in Gear - Tulsa,These ads ran without a disclaimer,≤100,2
110685853834185,Kristine Osterday for Judge,The Committee to Elect Kristine Osterday,≤100,1
1375562049331471,South Central Nebraska Right to Life,South Central Nebraska Right to Life,≤100,1
346381202915642,The Norm Kent Show,These ads ran without a disclaimer,≤100,1
2081065772184266,Native American Democratic Auxillary Caucus,Crystal Ann Cavalier,≤100,3
758206307704951,Alberdi For Arizona,Jose Vicente Alberdi,≤100,2
101070164647083,Nard,These ads ran without a disclaimer,≤100,2
162959950530742,"Wilson Thélimo LOUIS, KOTAKOT pour la promotion de la jeunesse",Wilson Thelimo Louis,≤100,1
22446650317,"Dale Folwell, CPA for N.C. Treasurer",Stephen Mark Baker,≤100,1
201926381225,New Jersey Youth Corps of Phillipsburg,These ads ran without a disclaimer,≤100,1
110948903774748,McCarthy the Elephant,These ads ran without a disclaimer,≤100,1
1244094769075971,Bernin' for You.,These ads ran without a disclaimer,≤100,2
104671177761994,Transgender Huntington,These ads ran without a disclaimer,≤100,1
116490948921544,Team Cheryl Stephens,These ads ran without a disclaimer,≤100,1
1716204875305584,Union for Reform Judaism,These ads ran without a disclaimer,≤100,2
1582722068669873,The Galleria Banquet Room,These ads ran without a disclaimer,≤100,1
101979071196311,Dynamic Events,These ads ran without a disclaimer,≤100,1
676396276075145,F3 Tech,These ads ran without a disclaimer,≤100,2
695736360476327,Raven Roulette,These ads ran without a disclaimer,≤100,1
134161179969610,Stuart & Branigin LLP,These ads ran without a disclaimer,≤100,1
157091950983661,New Zion Baptist Church,These ads ran without a disclaimer,≤100,1
952381694823119,The Pink Pug- Midland,These ads ran without a disclaimer,≤100,1
180591828669248,Fitness Fury,These ads ran without a disclaimer,≤100,1
355229061267777,There's No Place Like Home - Environmental Blog Site,Daniel Anthony Slichter Aiuto,≤100,1
300723090297879,Joel for Wilmette,Joel for Wilmette,≤100,1
102391084637199,The Mindful Cops,These ads ran without a disclaimer,≤100,1
134973443810122,Grammer For KY House District 36,Metro Louisville,≤100,1
78199089345,Dorchester County Democratic Party,Jeannette Elizabeth Atchley,≤100,1
104141422951673,Chicago Booth Review,University of Chicago,≤100,1
108148149267448,Progressive Democratic Women's Caucus,Progressive Democratic Women's Caucus of Muskegon County,≤100,1
113435313459278,Girl Power NYC,Girl Power NYC,≤100,8
106358710913805,Paul South for Mayor,Tamara June Arnold,≤100,1
1787981661474767,San Juan "la Ciudad Patria",These ads ran without a disclaimer,≤100,2
719933028151605,B'nai David-Judea Congregation,These ads ran without a disclaimer,≤100,1
1670777243185716,Matt Klein for Senate,Matt Klein for Senate,≤100,1
2029539637337122,Left Right Fights,Jeffrey M Perkins,≤100,1
192367267452715,Calvary Chapel Malibu,CALVARY CHAPEL MALIBU,≤100,1
2296200640596835,Palmetto Real Estate - Gulf Coast,These ads ran without a disclaimer,≤100,1
107093381224,Prattville Area Chamber of Commerce,These ads ran without a disclaimer,≤100,1
399967603390922,OTP Radio,These ads ran without a disclaimer,≤100,3
112224627005582,Yes4ClioBond,Ro B Ert James Love,≤100,1
2025915154347180,Hope for Hoschton,Vanessa Hope G Weeks,≤100,1
1420820791494089,Muslim Writers Collective,Muslim Writers Collective,≤100,1
550622028319900,Headlock Press,These ads ran without a disclaimer,≤100,3
240609692782574,Adams v. Roth - a weekly smart & civil political debate,These ads ran without a disclaimer,≤100,1
101405764718939,Red State Bloodhounds,Kevin Edward Jacobs,≤100,1
146503425362983,City Councilor Brian Palmucci,Brian David Palmucci,≤100,2
241407992538768,Black Voice News,These ads ran without a disclaimer,≤100,1
117279824958748,General Gayety,These ads ran without a disclaimer,≤100,1
284722801539476,TFNB Your Bank for Life,These ads ran without a disclaimer,≤100,1
1950925028456790,Minnetrista governance blog,Minnetrista Governance Blog,≤100,1
282027690771,Lawrence County Alabama Democratic Party,Zane Lesslie Garrison,≤100,1
1705027499763009,Stephanie Martins for Everett City Council Ward 2 Voted Citywide,Stephanie N Martins,≤100,1
146256612103489,Barnabas Connection,These ads ran without a disclaimer,≤100,1
